open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1762622100000,3366.95,3377.04,3366.95,3374.32,7433.569,1762622399999,25072779.11537,18314,4885.773,16478570.60146,0
1762622400000,3374.31,3392.13,3373.64,3383.90,33303.816,1762622699999,112685222.66091,39537,22353.311,75633068.17957,0
1762622700000,3383.89,3392.17,3383.79,3388.76,16243.271,1762622999999,55025885.24922,23270,11157.078,37795803.02918,0
1762623000000,3388.77,3394.56,3385.28,3394.35,9530.019,1762623299999,32306125.98158,18848,5533.321,18759541.50931,0
1762623300000,3394.36,3394.92,3387.36,3390.03,9036.416,1762623599999,30639849.20312,14984,4877.686,16540941.28721,0
1762623600000,3390.02,3395.00,3390.02,3391.27,6623.589,1762623899999,22471580.44122,14384,3339.645,11330491.78466,0
1762623900000,3391.27,3397.00,3389.76,3395.59,11639.159,1762624199999,39497921.26600,17409,6875.757,23334113.78066,0
1762624200000,3395.60,3395.79,3391.16,3395.38,4781.095,1762624499999,16225185.74853,12839,2064.840,7007719.07243,0
1762624500000,3395.39,3399.00,3393.55,3397.69,8131.964,1762624799999,27620992.54171,15127,4243.074,14413289.90105,0
1762624800000,3397.69,3397.69,3391.66,3393.23,5877.364,1762625099999,19950610.92189,15593,2998.347,10177635.90313,0
1762625100000,3393.22,3394.65,3390.10,3392.18,5344.756,1762625399999,18129484.92181,10281,1303.122,4420158.31263,0
1762625400000,3392.18,3398.23,3392.18,3396.23,5342.992,1762625699999,18144299.86881,12189,2611.316,8867380.50197,0
1762625700000,3396.24,3396.44,3391.12,3392.86,5736.576,1762625999999,19465143.50697,13788,1257.409,4266605.36346,0
1762626000000,3392.87,3392.87,3385.00,3385.88,9446.710,1762626299999,32009412.69144,15063,3162.692,10716781.96889,0
1762626300000,3385.88,3388.55,3384.56,3388.29,3735.515,1762626599999,12650000.50111,10230,1564.645,5298672.18633,0
1762626600000,3388.30,3395.91,3388.30,3391.20,6389.943,1762626899999,21679944.63114,16345,3977.530,13495625.95660,0
1762626900000,3391.20,3393.80,3387.60,3393.65,2694.475,1762627199999,9136613.79717,11374,1324.744,4492486.73682,0
1762627200000,3393.66,3394.64,3392.35,3394.63,1983.265,1762627499999,6730176.95021,8330,989.678,3358499.46769,0
1762627500000,3394.64,3399.40,3394.47,3399.29,3795.186,1762627799999,12891526.00440,13276,2319.576,7879634.05346,0
1762627800000,3399.29,3403.80,3398.55,3403.45,11851.766,1762628099999,40305323.56491,16001,7942.739,27011223.41555,0
